"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Boban Marjanovic","DAL",22,128,257,98,41,66,0.6212121212121212,1,4,0.25,0.25,13,60,22,3,0,0.7317073170731707,0.7692307692307693,1,0.05714285714285714,0.49143785714285715,0.6071428571428571,0.620253164556962,4,5,0.07575757575757576,0,0,32.19178082191781
"Jay Scrubb","LAC",18,121,271,49,12,25,0.48,6,21,0.2857142857142857,0.2857142857142857,7,8,16,12,6,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.45652173913043476,0.5250684782608696,0.45652173913043476,0.49,0,0,0,0,0,19.06354515050167
"Devontae Cacok","SAS",15,121,257,46,21,31,0.6774193548387096,0,0,0,0,4,28,14,0,0,0.6666666666666666,0.7777777777777778,0,0,0.5214806451612903,0.6774193548387096,0.6764705882352942,6,2,0.06451612903225806,0,0,12.627986348122866
"Jalen Johnson","ATL",22,120,255,52,19,28,0.6785714285714286,3,13,0.23076923076923078,0.23076923076923078,5,30,8,9,0,0.7894736842105263,0.8333333333333334,1,0.3170731707317073,0.5909951219512195,0.573170731707317,0.5909090909090909,2,2,0.07142857142857142,0,0,18.92857142857143
"Neemias Queta","SAC",14,120,246,45,17,38,0.4473684210526316,0,0,0,0,11,22,12,0,0,0.6470588235294118,0.7857142857142857,0,0,0.5050947368421053,0.4473684210526316,0.4891304347826087,6,3,0.07894736842105263,0,0,18.30985915492958
"Melvin Frazier Jr.","OKC",3,120,242,32,12,27,0.4444444444444444,1,21,0.047619047619047616,0.047619047619047616,5,18,6,3,0,0.75,0.8181818181818182,1,0.4375,0.528296875,0.28125,0.3137254901960784,2,5,0.18518518518518517,0,0,19.494584837545126
"Freddie Gillespie","ORL",9,119,238,21,9,21,0.42857142857142855,0,1,0,0,3,14,4,0,0,0.7777777777777778,1,0,0.045454545454545456,0.4571090909090909,0.4090909090909091,0.42,4,5,0.23809523809523808,0,0,11.363636363636363
"Jabari Parker","BOS",12,112,224,53,10,22,0.45454545454545453,8,16,0.5,0.5333333333333333,9,12,8,21,3,0.6,0.6666666666666666,0.875,0.42105263157894735,0.5324675675675675,0.5789473684210527,0.6309523809523809,2,2,0.09090909090909091,0,0,19.607843137254903
"Derrick Walton Jr.","DET",3,108,228,19,3,13,0.23076923076923078,3,13,0.23076923076923078,0.23076923076923078,4,0,6,9,0,0,0,1,0.5,0.48942884615384613,0.28846153846153844,0.3392857142857143,0,1,0.07692307692307693,0,0,14.444444444444443
"Jeff Dowtin","ORL",9,108,226,19,7,17,0.4117647058823529,1,9,0.1111111111111111,0.1111111111111111,2,2,12,3,0,0.14285714285714285,0.16666666666666666,1,0.34615384615384615,0.4751846153846154,0.3269230769230769,0.36538461538461536,2,0,0,0,0,12.109375
"Langston Galloway","MIL",7,107,219,14,4,10,0.4,2,16,0.125,0.125,0,4,4,3,3,0.5,0.5,0.5,0.6153846153846154,0.5439923076923077,0.2692307692307692,0.2692307692307692,0,1,0.1,0,0,12.307692307692307
"Chaundee Brown Jr.","ATL",5,104,212,31,4,14,0.2857142857142857,6,18,0.3333333333333333,0.35294117647058826,5,4,4,18,0,0.5,0.5,1,0.5625,0.5308887096774194,0.40625,0.44285714285714284,0,3,0.21428571428571427,0,0,15.189873417721518
"Louis King","SAC",10,104,223,45,7,20,0.35,8,27,0.2962962962962963,0.2962962962962963,7,6,8,18,6,0.42857142857142855,0.42857142857142855,0.75,0.574468085106383,0.4711106382978723,0.40425531914893614,0.4411764705882353,0,1,0.05,0,0,19.844357976653697
"Luke Kornet","BOS",15,103,219,30,13,22,0.5909090909090909,0,5,0,0,4,18,8,0,0,0.6923076923076923,1,0,0.18518518518518517,0.5782814814814815,0.48148148148148145,0.5172413793103449,8,2,0.09090909090909091,0,0,11.417322834645669
"Tyler Johnson","SAS",6,91,186,17,1,7,0.14285714285714285,5,13,0.38461538461538464,0.38461538461538464,0,2,0,15,0,1,1,1,0.65,0.492345,0.425,0.425,0,0,0,1,0.07692307692307693,10.328638497652582
"Chris Silva","MIA",10,91,184,26,8,15,0.5333333333333333,0,0,0,0,10,12,4,0,0,0.75,1,0,0,0.51474,0.5333333333333333,0.6190476190476191,4,3,0.2,0,0,12.962962962962962
"Devon Dotson","CHI",11,85,175,29,9,14,0.6428571428571429,2,9,0.2222222222222222,0.2222222222222222,5,10,8,6,0,0.5555555555555556,0.5555555555555556,1,0.391304347826087,0.603708695652174,0.5217391304347826,0.5370370370370371,0,2,0.14285714285714285,0,0,15.841584158415841
"Udonis Haslem","MIA",13,83,176,32,13,27,0.48148148148148145,1,4,0.25,0.25,3,20,6,3,0,0.7692307692307693,0.8333333333333334,1,0.12903225806451613,0.5104145161290323,0.46774193548387094,0.5,2,3,0.1111111111111111,0,0,18.781725888324875
