"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"KZ Okpala","SAC",35,248,8,0,4,0,0,0,0,0.09523809523809523,0.19047619047619047,0
"Luka Garza","MIN",28,243,52,0,21,5,1,0,6,0.16541353383458646,0.22580645161290322,0.025
"Jamal Cain","MIA",18,240,22,0,13,4,0,0,0,0.17333333333333334,0.23636363636363636,0
"Frank Kaminsky","HOU",36,235,16,0,6,0,0,0,2,0.08695652173913043,0.16666666666666666,0
"Kira Lewis Jr.","NOP",25,235,22,0,10,2,0,0,2,0.10416666666666667,0.16129032258064516,0
"Johnny Juzang","UTA",18,232,4,0,2,0,0,0,0,0.018867924528301886,0.046511627906976744,0
"David Duke Jr.","BKN",23,228,17,0,10,3,0,0,0,0.11764705882352941,0.136986301369863,0
"Patrick Baldwin Jr.","GSW",31,226,6,0,3,0,0,0,0,0.026785714285714284,0.10714285714285714,0
"John Butler Jr.","POR",19,221,4,0,3,2,0,0,0,0.05555555555555555,0.15789473684210525,0
"Cody Zeller","MIA",15,217,35,0,14,3,0,0,5,0.2,0.20588235294117646,0
"Dalen Terry","CHI",38,214,21,0,10,1,0,0,1,0.12345679012345678,0.18518518518518517,0
"Matthew Dellavedova","SAC",32,213,7,0,2,1,0,0,2,0.0392156862745098,0.08333333333333333,0
"Thanasis Antetokounmpo","MIL",37,206,22,0,9,0,0,0,2,0.16363636363636364,0.19148936170212766,0
"Nikola Jovic","MIA",15,204,19,0,8,3,0,0,3,0.10810810810810811,0.20512820512820512,0
"Jared Rhoden","DET",14,198,6,0,2,0,0,0,1,0.043478260869565216,0.07692307692307693,0
"Moussa Diabate","LAC",22,195,16,0,9,4,0,0,1,0.17307692307692307,0.18,0
"Nerlens Noel","BKN",17,195,12,0,4,0,0,0,1,0.1,0.10526315789473684,0
"Skylar Mays","POR",6,189,13,1,6,2,0,0,1,0.08333333333333333,0.13043478260869565,0
"Peyton Watson","DEN",23,186,20,0,10,2,0,0,1,0.14925373134328357,0.18867924528301888,0
"Serge Ibaka","MIL",16,185,13,0,4,1,0,0,3,0.07017543859649122,0.10256410256410256,0
"Kenneth Lofton Jr.","MEM",24,176,27,0,15,5,0,0,1,0.14563106796116504,0.1744186046511628,0
"Mamadi Diakite","CLE",22,176,2,0,1,0,0,0,0,0.0196078431372549,0.03333333333333333,0
"Ryan Arcidiacono","POR",20,172,0,0,0,0,0,0,0,0,0,0
"Noah Vonleh","BOS",23,172,2,0,1,0,0,0,0,0.04,0.047619047619047616,0
"Boban Marjanovic","HOU",31,171,27,0,14,7,0,0,3,0.208955223880597,0.21212121212121213,0
"Vit Krejci","ATL",29,165,2,0,1,0,0,0,0,0.02631578947368421,0.058823529411764705,0
"James Johnson","IND",18,162,8,0,3,0,0,0,1,0.057692307692307696,0.08108108108108109,0
"Khem Birch","TOR",20,162,5,0,2,1,0,0,1,0.06060606060606061,0.06451612903225806,0
"Garrett Temple","NOP",25,162,4,0,2,0,0,0,0,0.0425531914893617,0.09523809523809523,0
"Alex Len","SAC",26,161,16,0,6,0,0,0,2,0.16666666666666666,0.17647058823529413,0
"Luka Samanic","UTA",7,161,13,0,7,1,0,0,0,0.1111111111111111,0.21875,0
"Dru Smith","BKN",15,158,3,0,2,1,0,0,0,0.043478260869565216,0.07407407407407407,0
"Wendell Moore Jr.","MIN",29,153,5,1,2,0,0,0,0,0.044444444444444446,0.07142857142857142,0
"Otto Porter Jr.","TOR",8,146,8,0,4,2,0,0,1,0.125,0.26666666666666666,0
"Kemba Walker","DAL",9,144,21,0,8,2,1,0,2,0.140625,0.22857142857142856,0.034482758620689655
"Danny Green","CLE",11,139,1,0,0,0,1,1,0,0.02040816326530612,0,0.02702702702702703
"Jarrett Culver","ATL",10,137,13,0,7,1,0,0,0,0.14285714285714285,0.1891891891891892,0
"Quenton Jackson","WAS",9,135,22,0,8,2,0,0,4,0.16666666666666666,0.2222222222222222,0
"Cody Martin","CHA",7,134,7,0,5,3,0,0,0,0.13157894736842105,0.20833333333333334,0
"Jeenathan Williams","POR",5,127,3,0,2,1,0,0,0,0.05,0.0625,0
"Xavier Cooks","WAS",10,126,10,0,3,0,0,0,2,0.0967741935483871,0.1,0
"Jonathan Isaac","ORL",11,124,9,0,5,1,0,0,0,0.08771929824561403,0.11904761904761904,0
"Jason Preston","LAC",14,124,2,0,0,0,0,0,1,0,0,0
"Shaquille Harrison","POR",5,120,15,0,7,2,1,0,0,0.19047619047619047,0.22580645161290322,0.09090909090909091
"Meyers Leonard","MIL",9,114,9,0,4,1,0,0,1,0.125,0.2857142857142857,0
"Olivier Sarr","OKC",9,114,7,0,4,1,0,0,0,0.12121212121212122,0.16,0
"Andre Iguodala","GSW",8,113,3,0,1,1,0,0,1,0.06666666666666667,0.16666666666666666,0
"Daniel Theis","IND",7,109,12,0,7,2,0,0,0,0.14285714285714285,0.18421052631578946,0
"A.J. Lawson","DAL",15,108,8,0,5,2,0,0,0,0.10638297872340426,0.22727272727272727,0
"Justin Jackson","BOS",23,107,2,0,1,0,0,0,0,0.03571428571428571,0.125,0
"Vince Williams Jr.","MEM",15,105,2,0,1,0,0,0,0,0.024390243902439025,0.07692307692307693,0
"Josh Minott","MIN",15,96,8,0,4,0,0,0,0,0.1,0.11764705882352941,0
"Jay Huff","WAS",7,95,16,0,5,1,0,0,4,0.1724137931034483,0.29411764705882354,0
"Joshua Primo","SAS",4,93,9,0,5,1,0,0,0,0.16666666666666666,0.2777777777777778,0
"Greg Brown III","POR",16,93,12,0,6,2,0,0,1,0.1875,0.24,0
"Buddy Boeheim","DET",10,90,2,0,1,0,0,0,0,0.03571428571428571,0.3333333333333333,0
"Jaden Springer","PHI",16,89,8,0,3,0,0,0,1,0.07894736842105263,0.09090909090909091,0
"Justin Minaya","POR",4,89,1,0,1,1,0,0,0,0.043478260869565216,0.09090909090909091,0
"Lindell Wigginton","MIL",7,87,9,0,5,1,0,0,0,0.12195121951219512,0.21739130434782608,0
"Isaiah Mobley","CLE",12,84,4,0,2,0,0,0,0,0.06666666666666667,0.09090909090909091,0
"Omer Yurtseven","MIA",9,83,6,0,3,2,0,0,1,0.10714285714285714,0.14285714285714285,0
"Jordan Hall","SAS",9,83,9,0,4,1,0,0,1,0.12903225806451613,0.25,0
"PJ Dozier","SAC",16,79,0,0,0,0,0,0,0,0,0,0
"Jared Butler","OKC",6,77,0,0,0,0,0,0,0,0,0,0
"Udonis Haslem","MIA",7,72,5,0,2,1,0,0,1,0.06666666666666667,0.09523809523809523,0
"Keon Ellis","SAC",16,71,7,0,1,0,1,0,1,0.1111111111111111,0.2,0.07692307692307693
"Jamaree Bouyea","WAS",5,71,2,0,1,0,0,0,0,0.06666666666666667,0.1111111111111111,0
"Trevelin Queen","IND",7,70,5,0,1,0,1,0,0,0.03333333333333333,0.06666666666666667,0
"Leandro Bolmaro","UTA",14,68,0,0,0,0,0,0,0,0,0,0
"Jack White","DEN",17,66,3,0,2,1,0,0,0,0.1,0.18181818181818182,0
"JD Davison","BOS",12,66,2,0,1,0,0,0,0,0.05,0.07692307692307693,0
"Tyrese Martin","ATL",16,66,2,0,1,0,0,0,0,0.041666666666666664,0.058823529411764705,0
"Ryan Rollins","GSW",12,62,6,0,0,0,0,0,3,0,0,0
"Isaiah Todd","WAS",6,61,2,0,0,0,0,0,1,0,0,0
"Sam Merrill","CLE",5,59,2,0,0,0,0,0,1,0,0,0
"Carlik Jones","CHI",7,56,8,0,3,0,0,0,1,0.16666666666666666,0.25,0
"Gabe York","IND",3,56,2,0,1,0,0,0,0,0.045454545454545456,0.25,0
"Devon Dotson","WAS",6,53,0,0,0,0,0,0,0,0,0,0
"Micah Potter","UTA",7,52,0,0,0,0,0,0,0,0,0,0
"Facundo Campazzo","DAL",8,52,2,0,0,0,0,0,1,0,0,0
"Joe Wieskamp","TOR",9,50,0,0,0,0,0,0,0,0,0,0
"Xavier Sneed","CHA",4,48,4,0,1,0,0,0,1,0.09090909090909091,0.2,0
"Kendall Brown","IND",6,40,2,0,1,0,0,0,0,0.125,0.14285714285714285,0
