"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","UnblockedAtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","UnblockedShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","UnblockedLongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","UnblockedCorner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","UnblockedArc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Hunter Tyson","DEN",51,400,0.53780375,0.8333333333333334,5.260869565217392,25.272972972972973,17,26,0.21666666666666667,0.6538461538461539,0.7727272727272727,0.6470588235294118,0.15384615384615385,3,14,0.11666666666666667,0.21428571428571427,0.375,1,0.42857142857142855,2,6,0.05,0.3333333333333333,0.3333333333333333,0.5,0,6,23,0.19166666666666668,0.2608695652173913,0.2608695652173913,0.8333333333333334,0,17,51,0.425,0.3333333333333333,0.34,0.9411764705882353,0.0196078431372549,17,51,0.3333333333333333,0,0
"Anthony Gill","WAS",51,397,0.5207943181818182,0.7045454545454546,4.575438596491228,25.003225806451614,19,31,0.3522727272727273,0.6129032258064516,0.6551724137931034,0.631578947368421,0.06451612903225806,14,24,0.2727272727272727,0.5833333333333334,0.6666666666666666,0.5714285714285714,0.125,0,2,0.022727272727272728,0,0,0,0.5,4,13,0.14772727272727273,0.3076923076923077,0.3076923076923077,1,0,6,18,0.20454545454545456,0.3333333333333333,0.3333333333333333,1,0,6,18,0.3333333333333333,0,0
"Jeff Green","HOU",32,396,0.5400264462809917,0.7933884297520661,7.135714285714285,24.548101265822783,13,17,0.14049586776859505,0.7647058823529411,0.7647058823529411,0.6923076923076923,0,13,18,0.1487603305785124,0.7222222222222222,0.8125,0.3076923076923077,0.1111111111111111,6,7,0.05785123966942149,0.8571428571428571,0.8571428571428571,0.6666666666666666,0,16,43,0.35537190082644626,0.37209302325581395,0.37209302325581395,1,0,13,36,0.2975206611570248,0.3611111111111111,0.3611111111111111,0.9230769230769231,0,13,36,0.3611111111111111,0,0
"Devin Carter","SAC",36,396,0.5223948,0.7007874015748031,5.804545454545455,26.257377049180327,17,28,0.2204724409448819,0.6071428571428571,0.68,0.47058823529411764,0.10714285714285714,11,35,0.2755905511811024,0.3142857142857143,0.3333333333333333,0.18181818181818182,0.05714285714285714,1,3,0.023622047244094488,0.3333333333333333,0.3333333333333333,0,0,5,16,0.12598425196850394,0.3125,0.3125,0.8,0,13,45,0.3543307086614173,0.28888888888888886,0.28888888888888886,0.7692307692307693,0,13,45,0.28888888888888886,0,0
"Trey Jemison III","LAL",38,392,0.5507202702702703,0.6486486486486487,3.9081081081081086,0,33,48,0.6486486486486487,0.6875,0.7857142857142857,0.7272727272727273,0.125,8,25,0.33783783783783783,0.32,0.38095238095238093,0.875,0.16,0,1,0.013513513513513514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reggie Jackson","PHI",31,384,0.515079389312977,0.6992481203007519,7.913559322033898,26.62837837837838,11,19,0.14285714285714285,0.5789473684210527,0.6470588235294118,0.6363636363636364,0.10526315789473684,12,28,0.21052631578947367,0.42857142857142855,0.42857142857142855,0.4166666666666667,0,4,12,0.09022556390977443,0.3333333333333333,0.3333333333333333,0,0,6,15,0.11278195488721804,0.4,0.4,1,0,19,59,0.44360902255639095,0.3220338983050847,0.3275862068965517,0.7368421052631579,0.01694915254237288,19,57,0.3333333333333333,2,0
"Baylor Scheierman","BOS",31,384,0.5319763636363637,0.8545454545454545,7.471428571428571,26.071951219512197,8,12,0.10909090909090909,0.6666666666666666,0.6666666666666666,0.625,0,2,10,0.09090909090909091,0.2,0.25,0.5,0.2,3,6,0.05454545454545454,0.5,0.5,0.6666666666666666,0,8,25,0.22727272727272727,0.32,0.3333333333333333,1,0.04,18,57,0.5181818181818182,0.3157894736842105,0.3157894736842105,0.8333333333333334,0,18,57,0.3157894736842105,0,0
"Quenton Jackson","IND",28,381,0.6101877049180328,0.8442622950819673,3.729268292682927,25.305,37,63,0.5163934426229508,0.5873015873015873,0.7115384615384616,0.5945945945945946,0.1746031746031746,5,12,0.09836065573770492,0.4166666666666667,0.5,0.4,0.16666666666666666,1,7,0.05737704918032787,0.14285714285714285,0.14285714285714285,0,0,4,13,0.10655737704918032,0.3076923076923077,0.3076923076923077,1,0,11,27,0.22131147540983606,0.4074074074074074,0.4074074074074074,0.9090909090909091,0,11,27,0.4074074074074074,0,0
"Alex Len","LAL",46,380,0.5367666666666666,0.5873015873015873,4.6462962962962955,24.68888888888889,17,28,0.4444444444444444,0.6071428571428571,0.7391304347826086,0.7058823529411765,0.17857142857142858,13,25,0.3968253968253968,0.52,0.5652173913043478,0.7692307692307693,0.08,0,1,0.015873015873015872,0,0,0,0,1,4,0.06349206349206349,0.25,0.25,1,0,1,5,0.07936507936507936,0.2,0.2,1,0,1,5,0.2,0,0
"Johnny Furphy","IND",50,379,0.5682141304347826,0.8804347826086957,3.7047619047619045,24.968000000000004,17,31,0.33695652173913043,0.5483870967741935,0.7083333333333334,0.8235294117647058,0.22580645161290322,3,9,0.09782608695652174,0.3333333333333333,0.42857142857142855,1,0.2222222222222222,0,2,0.021739130434782608,0,0,0,0,8,22,0.2391304347826087,0.36363636363636365,0.36363636363636365,0.875,0,7,28,0.30434782608695654,0.25,0.2692307692307692,1,0.07142857142857142,7,28,0.25,0,0
