"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Jakob Poeltl","TOR",57,1686,158,356,118,40,77,31,10,16,24
"Scotty Pippen Jr.","MEM",79,1683,347,842,199,148,108,81,10,33,115
"Kevin Huerter","CHI",69,1679,156,372,96,60,74,16,6,17,43
"Santi Aldama","MEM",65,1660,188,462,102,86,53,45,4,25,61
"AJ Green","MIL",73,1659,108,285,39,69,25,9,5,20,49
"Al Horford","BOS",60,1659,128,341,43,85,18,15,10,26,59
"Terry Rozier","MIA",64,1658,167,410,91,76,45,39,7,15,61
"Peyton Watson","DEN",68,1657,94,218,64,30,36,21,7,9,21
"Moses Moody","GSW",74,1649,96,241,47,49,25,19,3,15,34
"Tristan da Silva","ORL",74,1629,113,268,71,42,52,13,6,9,33
"Donte DiVincenzo","MIN",62,1606,225,526,149,76,118,24,7,31,45
"Isaiah Joe","OKC",74,1604,119,300,57,62,39,17,1,23,39
"Corey Kispert","WAS",61,1602,103,252,57,46,29,19,9,15,31
"Caris LeVert","ATL",64,1596,215,528,117,98,77,34,6,40,58
"Miles McBride","NYK",64,1593,187,466,95,92,57,30,8,32,60
"Isaiah Hartenstein","OKC",57,1590,218,499,155,63,97,37,21,13,50
"Gradey Dick","TOR",54,1587,98,236,58,40,44,14,0,13,27
"Paolo Banchero","ORL",46,1582,219,534,123,96,67,43,13,34,62
"Patrick Williams","CHI",63,1576,124,310,62,62,33,25,4,15,47
"Obi Toppin","IND",79,1545,128,296,88,40,49,28,11,18,22
"Grayson Allen","PHX",64,1544,137,332,79,58,48,20,11,32,26
"Ziaire Williams","BKN",63,1541,84,198,54,30,42,10,2,13,17
"Sam Hauser","BOS",71,1541,64,164,28,36,15,10,3,12,24
"Victor Wembanyama","SAS",46,1527,168,387,117,51,88,21,8,18,33
"Gabe Vincent","LAL",72,1525,98,240,54,44,31,18,5,21,23
"Jonas Valančiūnas","SAC",81,1524,164,388,104,60,52,33,19,4,56
"Jerami Grant","POR",47,1524,101,245,58,43,31,18,9,17,26
"Kyle Filipowski","UTA",72,1522,140,335,85,55,47,34,4,21,34
"Ja Morant","MEM",50,1519,364,862,230,134,173,55,2,47,87
"Matas Buzelis","CHI",80,1511,79,195,42,37,23,18,1,11,26
"LaMelo Ball","CHA",47,1505,346,835,203,143,148,43,12,50,93
"Dalton Knecht","LAL",78,1494,66,161,37,29,22,12,3,9,20
"Kevin Porter Jr.","MIL",75,1482,256,625,143,113,89,47,7,26,87
"D'Angelo Russell","BKN",58,1481,296,710,178,118,131,30,17,35,83
"Lauri Markkanen","UTA",47,1476,70,179,31,39,19,9,3,16,23
"Luke Kennard","MEM",65,1472,215,513,132,83,66,58,8,24,59
"Jamal Shead","TOR",75,1467,316,773,175,141,116,41,18,50,91
"Aaron Gordon","DEN",51,1447,164,382,110,54,79,25,6,13,41
"Isaiah Stewart","DET",72,1434,123,310,59,64,22,24,13,11,53
"Brice Sensabaugh","UTA",71,1432,110,260,70,40,43,27,0,19,21
"Goga Bitadze","ORL",70,1430,137,327,84,53,45,24,15,8,45
"Kel'el Ware","MIA",64,1422,60,143,37,23,17,16,4,10,13
"Tari Eason","HOU",57,1420,83,201,48,35,39,9,0,12,23
"Zach Edey","MEM",66,1416,65,165,30,35,14,10,6,3,32
"T.J. McConnell","IND",79,1415,351,855,198,153,113,65,20,64,89
"Terance Mann","ATL",67,1414,121,289,74,47,42,29,3,19,28
"Ryan Dunn","PHX",74,1410,57,146,25,32,13,10,2,14,18
"Sam Merrill","CLE",71,1401,108,265,59,49,36,23,0,21,28
"Ayo Dosunmu","CHI",46,1394,208,509,115,93,73,38,4,26,67
"Ty Jerome","CLE",70,1393,237,576,135,102,91,38,6,35,67
"Julian Strawther","DEN",65,1384,83,204,45,38,25,16,4,9,29
"Nick Smith Jr.","CHA",60,1369,145,348,87,58,52,30,5,16,42
"Jaime Jaquez Jr.","MIA",66,1368,166,411,87,79,42,35,10,27,52
"Jeremy Sochan","SAS",54,1367,128,309,75,53,48,20,7,13,40
"Nicolas Batum","LAC",78,1367,84,202,50,34,28,17,5,10,24
"Jose Alvarado","NOP",56,1366,259,597,180,79,117,49,14,19,60
"Luke Kornet","BOS",73,1361,117,309,42,75,27,10,5,18,57
"Trey Lyles","SAC",69,1349,82,200,46,36,26,15,5,8,28
"Jake LaRavia","SAC",66,1349,158,391,83,75,42,36,5,25,50
"Bogdan Bogdanović","LAC",54,1348,146,349,89,57,51,32,6,26,31
"Justin Champagnie","WAS",62,1340,60,145,35,25,20,12,3,4,21
"Paul George","PHI",41,1334,178,435,99,79,76,18,5,26,53
"Ausar Thompson","DET",59,1328,134,330,72,62,44,23,5,16,46
"Donovan Clingan","POR",67,1324,77,193,38,39,22,8,8,6,33
"Jordan Hawkins","NOP",56,1321,66,158,40,26,28,11,1,11,15
"Tyrese Martin","BKN",60,1315,122,302,64,58,45,18,1,11,47
"Mason Plumlee","PHX",74,1300,134,317,85,49,34,36,15,18,31
"Jonathan Mogbo","TOR",63,1286,145,344,91,54,64,22,5,17,37
"Jalen Johnson","ATL",36,1284,181,426,117,64,81,33,3,32,32
"Max Strus","CLE",50,1273,158,365,109,49,76,30,3,11,38
"Johnny Juzang","UTA",64,1270,68,171,33,35,16,15,2,8,27
"Ronald Holland II","DET",81,1266,82,208,38,44,28,5,5,19,25
"Javonte Green","CLE",68,1258,56,132,36,20,19,15,2,8,12
"Nick Richards","PHX",57,1256,49,120,27,22,10,11,6,9,13
"Dean Wade","CLE",59,1252,76,191,37,39,20,14,3,8,31
"Ricky Council IV","PHI",73,1250,97,239,52,45,38,10,4,16,29
"Tidjane Salaün","CHA",60,1244,74,179,43,31,26,9,8,11,20
"Bobby Portis","MIL",49,1244,104,264,48,56,33,8,7,17,39
"Moussa Diabaté","CHA",71,1241,56,142,26,30,13,7,6,8,22
"Jeremiah Robinson-Earl","NOP",66,1239,88,220,44,44,27,15,2,14,30
"Simone Fontecchio","DET",75,1237,65,168,27,38,13,13,1,15,23
"Cole Anthony","ORL",67,1234,191,457,116,75,72,32,12,23,52
"Ben Sheppard","IND",63,1228,85,195,60,25,32,21,7,5,20
"Daniel Gafford","DAL",57,1226,80,186,54,26,27,14,13,5,21
"John Collins","UTA",40,1220,80,198,42,38,26,15,1,7,31
"Caleb Martin","DAL",45,1218,95,238,47,48,32,12,3,16,32
"Kristaps Porziņģis","BOS",42,1210,87,230,31,56,20,4,7,16,40
"Brandon Clarke","MEM",64,1207,66,160,38,28,20,13,5,9,19
"Deandre Ayton","POR",40,1206,64,159,33,31,20,7,6,6,25
"Jarace Walker","IND",75,1187,110,263,67,43,48,15,4,18,25
"Kawhi Leonard","LAC",37,1180,116,280,68,48,29,34,5,22,26
"Clint Capela","ATL",55,1176,63,148,41,22,24,11,6,8,14
"Cody Martin","PHX",53,1173,105,265,50,55,31,15,4,14,41
"Mark Williams","CHA",44,1171,109,276,51,58,20,20,11,19,39
"Precious Achiuwa","NYK",57,1170,55,129,36,19,18,10,8,2,17
"Justin Edwards","PHI",44,1156,69,163,44,25,32,9,3,7,18
"Nikola Jović","MIA",46,1156,131,316,77,54,42,29,6,26,28
"Vít Krejčí","ATL",57,1153,147,358,83,64,52,28,3,26,38
"Jonathan Kuminga","GSW",47,1144,104,266,46,58,27,15,4,22,36
"Kevon Looney","GSW",76,1142,118,299,55,63,29,17,9,14,49
"Kenrich Williams","OKC",69,1132,96,235,53,43,28,18,7,11,32
"Aaron Nesmith","IND",45,1123,54,126,36,18,21,7,8,5,13
"Julian Phillips","CHI",79,1123,39,100,17,22,5,12,0,1,21
"Dalano Banton","POR",67,1120,160,388,92,68,73,17,2,33,35
"Ben Simmons","LAC",51,1120,285,710,145,140,96,40,9,41,99
"Ja'Kobe Walter","TOR",52,1103,81,192,51,30,38,9,4,11,19
"Jaxson Hayes","LAL",56,1093,58,152,22,36,9,11,2,9,27
"Jonathan Isaac","ORL",71,1090,40,91,29,11,16,8,5,4,7
"Cameron Payne","NYK",72,1090,203,479,130,73,84,34,12,31,42
