"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"James Johnson","BKN",62,1191,-59,111.78451178451178,112.4223602484472,296,0.22413793103448276,0.3333333333333333,0.2857142857142857,0.25,34,31,3,13,18,0,2,1,13,0.38235294117647056,30,14,16,0
"Jordan Nwora","MIL",62,1185,-77,112.54032258064515,115.92562651576395,424,0.2191780821917808,0.38461538461538464,0.27906976744186046,0.17391304347826086,17,17,0,14,3,0,0,0,15,0.8823529411764706,25,14,11,2
"Jonathan Kuminga","GSW",70,1185,35,112.27045075125208,110.21170610211706,584,0.1702127659574468,0.27450980392156865,0.26865671641791045,0.2,22,21,1,8,13,0,1,0,15,0.6818181818181818,31,15,16,5
"Facundo Campazzo","DEN",65,1184,-212,105.21227406473308,113.07788421491044,307,0.17391304347826086,0.4,0.20833333333333334,0.2,23,19,4,7,12,0,0,4,10,0.43478260869565216,63,27,36,0
"Shake Milton","PHI",55,1179,-29,111.35204081632654,112.53718657033573,404,0.19047619047619047,0.2558139534883721,0.2878787878787879,0.25,17,17,0,4,12,1,0,0,10,0.5882352941176471,28,10,18,0
"Taurean Prince","MIN",69,1177,-5,114.5556895858464,114.48054552747693,461,0.2302158273381295,0.5,0.25,0.2727272727272727,23,22,1,11,10,1,0,1,15,0.6521739130434783,47,9,38,0
"Cam Thomas","BKN",67,1176,-139,108.8539511791477,114.79486116866971,517,0.3170731707317073,0.3333333333333333,0.4067796610169492,0.20634920634920634,8,7,1,2,5,0,0,1,5,0.625,33,12,21,1
"CJ Elleby","POR",58,1174,-348,104.68879668049792,119.52539550374688,286,0.2413793103448276,0.3111111111111111,0.3611111111111111,0.125,19,18,1,13,5,0,1,0,9,0.47368421052631576,35,14,21,0
"JaVale McGee","PHX",74,1172,120,113.81031613976705,108.95460224906289,503,0.16666666666666666,0.4044943820224719,0.24615384615384617,0.25,81,79,2,41,37,1,1,1,59,0.7283950617283951,22,4,18,15
"Frank Jackson","DET",53,1164,-185,106.52992884051905,113.70262390670553,492,0.23684210526315788,0.3157894736842105,0.225,0.3333333333333333,9,9,0,6,2,1,0,0,6,0.6666666666666666,27,5,22,0
"Hassan Whiteside","UTA",65,1162,230,122.33589087809037,112.72416737830913,332,0,0.2727272727272727,0.296875,0.16666666666666666,103,102,1,53,44,5,1,0,67,0.6504854368932039,22,6,16,3
"Tre Jones","SAS",69,1148,-15,112.5263601855757,112.58917331095259,372,0.14705882352941177,0.36,0.5217391304347826,0.25,7,7,0,5,2,0,0,0,5,0.7142857142857143,42,21,21,0
"Alex Caruso","CHI",41,1147,110,113.0659767141009,108.0895008605852,271,0.2692307692307692,0.4166666666666667,0.25,0.16666666666666666,15,14,1,12,2,0,0,1,5,0.3333333333333333,71,20,51,0
"Marvin Bagley III","DET",48,1146,-132,111.98957428323197,117.46857390550498,421,0.18309859154929578,0.3,0.28735632183908044,0.2222222222222222,18,18,0,12,6,0,0,0,12,0.6666666666666666,22,11,11,5
"Nemanja Bjelica","GSW",71,1143,130,112.05028175119202,107.58106923751096,360,0.10638297872340426,0.3225806451612903,0.5106382978723404,0.2,26,26,0,13,13,0,0,0,18,0.6923076923076923,41,20,21,2
"Ish Smith","WAS",65,1126,-156,109.85243055555556,116.37072325682114,379,0.16666666666666666,0.3333333333333333,0.23943661971830985,0.21794871794871795,23,20,3,7,11,2,2,1,11,0.4782608695652174,47,28,19,0
"Joe Ingles","UTA",45,1122,186,114.85587583148559,106.79697912039093,306,0.23404255319148937,0.14285714285714285,0.5,0.5,5,5,0,0,2,3,0,0,3,0.6,23,6,17,0
"Garrett Temple","NOP",59,1098,-326,104.47080291970802,117.73177317731773,270,0.312,0.391304347826087,0.17647058823529413,0.13333333333333333,23,22,1,12,9,1,0,1,16,0.6956521739130435,43,25,18,0
